	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
11627	9.126401	1.470533	8.983034	0.570008	-1.550305	8.770095	2.592086	-0.303086	9.047391	1.193236	-0.022566	-9.418350	3.397424	-3.714987	22.304220	-0.300636	-4.529160	191.833557	0.464121	87.982742	0.464121	0.464121	0.202374	-0.099788	0.644843
11628	9.140864	1.515638	9.045079	0.638142	-1.579422	8.777707	2.714461	-0.385112	9.054241	1.239103	0.022730	-9.487246	3.389812	-3.705851	22.231373	-0.007416	-4.609298	191.079300	0.464121	87.982742	0.464121	0.464121	0.069985	-0.057102	-0.404385
11629	9.210211	1.592895	9.060902	0.656523	-1.580197	8.801676	2.862614	-0.356332	9.092483	1.316360	-0.037930	-9.512764	3.344434	-3.646200	21.933720	0.000000	-4.838660	191.060226	0.464121	87.982742	0.464121	0.464121	0.246548	-0.098078	-0.059905
11630	9.236692	1.637623	9.130698	0.600836	-1.600179	8.764235	2.967129	-0.382187	9.111517	1.381071	-0.019523	-9.481984	3.273850	-3.512481	21.989922	0.063739	-4.544114	191.060226	0.464121	87.982742	0.464121	0.464121	0.290994	-0.144801	-0.757846
11631	9.199277	1.530760	9.164331	0.631266	-1.696275	8.737587	3.001562	-0.504129	9.066809	1.364118	0.082757	-9.481183	3.258771	-3.483431	22.296444	0.370262	-4.477267	191.060226	0.464121	87.982742	0.464121	0.464121	0.158608	-0.188457	-0.584043
11632	9.171679	1.457625	9.153726	0.632079	-1.704421	8.763560	2.996666	-0.463467	9.151249	1.260926	0.106271	-9.492601	3.372569	-3.532240	22.304220	0.378038	-4.111683	191.060226	0.464121	87.842216	0.464121	0.464121	0.024510	-0.144112	1.169883
11633	9.198579	1.417782	9.082577	0.637312	-1.742612	8.726194	2.958475	-0.407191	9.093042	1.230724	0.041180	-9.558517	3.473921	-3.626708	22.304220	0.378038	-3.738315	191.060226	0.464121	87.030930	0.464121	0.464121	0.335350	-0.099477	0.293618
11634	9.165995	1.393038	9.037966	0.665976	-1.781628	8.687179	2.933730	-0.477115	9.120030	1.263307	0.029991	-9.550678	3.476434	-3.605314	22.304220	0.378038	-3.410481	190.943130	0.464121	87.010315	0.464121	0.464121	0.335006	-0.054301	-0.058704
11635	9.169425	1.464236	8.973628	0.637224	-1.807801	8.652444	2.992085	-0.504138	9.091279	1.264158	-0.037778	-9.478629	3.463590	-3.663668	22.263250	0.337068	-3.443308	190.003662	0.464121	87.115700	0.464121	0.464121	0.157734	-0.143986	0.819460
11636	9.199966	1.500310	9.002441	0.659290	-1.736165	8.662996	2.909896	-0.432503	9.120956	1.260352	-0.035699	-9.442554	3.356744	-3.604314	21.934574	0.008392	-3.771984	189.136963	0.464121	87.961159	0.464121	0.464121	0.158646	0.034329	0.995141
11637	9.156044	1.501187	8.965178	0.559067	-1.702931	8.767426	2.765574	-0.395939	9.083694	1.232202	0.005770	-9.448338	3.319304	-3.675509	21.926182	0.000000	-3.780376	189.115372	0.464121	87.982742	0.464121	0.464121	0.246384	-0.231032	0.640391
11638	9.055045	1.498333	8.931870	0.594525	-1.731606	8.764387	2.721035	-0.400757	9.041823	1.301857	0.065788	-9.516028	3.318414	-3.701145	21.926182	-0.027311	-3.780376	189.045120	0.464121	87.982742	0.464121	0.464121	0.158643	0.031562	-0.052406
11639	9.128564	1.457842	8.969082	0.633541	-1.665795	8.692917	2.655797	-0.472228	8.971828	1.308419	-0.077725	-9.482099	3.318414	-3.547215	21.926182	-0.369274	-3.780376	188.165482	0.464121	87.982742	0.464121	0.464121	0.290746	-0.010087	0.467632
11640	9.202790	1.384531	9.006195	0.666850	-1.734456	8.692987	2.770168	-0.479767	9.006195	1.380814	-0.113781	-9.481183	3.316512	-3.366370	21.926182	-0.359831	-3.798582	188.096100	0.464121	88.029572	0.464121	0.464121	0.291037	-0.188660	0.293584
11641	9.204649	1.384099	9.008551	0.595885	-1.696800	8.731074	2.922450	-0.586894	9.008551	1.378392	-0.038536	-9.482610	3.281278	-3.437898	21.926182	-0.009016	-4.163052	187.193710	0.464121	88.931976	0.464121	0.464121	0.556653	0.079424	0.642978
11642	9.203698	1.420271	9.047576	0.630172	-1.620662	8.771042	3.002366	-0.515475	9.046625	1.266074	0.039496	-9.521635	3.319361	-3.515930	21.926182	0.000000	-4.527307	187.147095	0.464121	88.955170	0.464121	0.464121	0.333421	-0.186333	1.691203
11643	9.166588	1.384117	9.123701	0.594969	-1.581641	8.846692	3.079448	-0.514991	9.085641	1.226097	0.116102	-9.597760	3.395011	-3.593487	21.930733	0.004551	-4.536451	186.221909	0.464121	88.955170	0.464121	0.464121	0.291932	0.122421	1.348601
11644	9.203667	1.421195	9.125639	0.708142	-1.618720	8.810582	3.081385	-0.629132	9.124657	1.263176	0.079992	-9.599698	3.358901	-3.633471	22.294821	0.368639	-4.536451	186.198074	0.464121	88.955170	0.464121	0.464121	0.247554	-0.054897	0.293674
11645	9.166591	1.498258	9.087593	0.749099	-1.695782	8.771565	3.005292	-0.555950	9.087581	1.302192	-0.073163	-9.485559	3.319885	-3.558349	22.304104	0.377922	-4.536451	185.261566	0.464121	88.955170	0.464121	0.464121	0.245674	-0.142946	1.518585
11646	9.127599	1.538708	9.048589	0.750569	-1.736233	8.694981	2.927284	-0.515548	9.011020	1.266069	-0.041343	-9.406117	3.243300	-3.630631	22.304220	0.737552	-4.176937	185.226257	0.464121	88.955170	0.464121	0.464121	0.335300	-0.188425	0.292667
11647	9.088582	1.429377	8.972480	0.713501	-1.701088	8.654064	2.923438	-0.439415	9.007196	1.227101	-0.002449	-9.439340	3.313663	-3.634381	21.949265	0.755726	-4.158763	184.312592	0.464121	88.955170	0.464121	0.464121	0.379923	0.033258	-0.230751
11648	9.049567	1.385707	8.931101	0.711137	-1.771992	8.578397	2.923365	-0.434652	9.007124	1.297933	0.036567	-9.441629	3.281701	-3.634454	21.926647	0.405684	-3.808022	184.254425	0.464121	88.955170	0.464121	0.464121	0.247766	-0.188568	0.294354
11649	9.118970	1.418873	8.892036	0.711089	-1.669181	8.608831	2.851086	-0.506833	9.007124	1.375820	-0.032835	-9.441678	3.242831	-3.598314	21.926182	0.378621	-4.126792	184.253220	0.464121	88.955170	0.464121	0.464121	0.778162	-0.141852	1.167771
11650	9.161156	1.386442	8.924345	0.675426	-1.695089	8.718989	2.808838	-0.477755	9.007124	1.346864	-0.039359	-9.513004	3.275140	-3.523696	21.584913	0.719308	-4.157714	184.253220	0.464121	89.833023	0.464121	0.464121	0.290935	-0.055742	0.470001
11651	9.129872	1.347572	8.963215	0.636483	-1.698627	8.730333	2.840122	-0.438958	9.077497	1.308067	-0.039505	-9.520517	3.349196	-3.551296	21.885675	0.755257	-4.158414	184.253220	0.464121	89.925491	0.464121	0.464121	0.291558	-0.098746	0.818836
11652	9.160446	1.343265	9.071651	0.562757	-1.664002	8.695881	2.844257	-0.538781	9.085938	1.269051	0.029914	-9.520688	3.392433	-3.555346	21.925245	0.423926	-4.158414	183.398834	0.464121	89.927597	0.464121	0.464121	0.246466	-0.098808	0.116105
11653	9.096567	1.308934	9.085803	0.484823	-1.727784	8.759662	2.912822	-0.621205	9.051901	1.298501	-0.029182	-9.486455	3.363081	-3.555444	21.926182	0.379092	-3.830822	183.283508	0.464121	89.927597	0.464121	0.464121	0.424412	-0.143916	0.118456
11654	9.153893	1.371298	9.052377	0.474304	-1.602945	8.803607	2.889363	-0.631834	9.012995	1.303540	-0.005503	-9.515062	3.324285	-3.454174	21.926182	0.378038	-3.781549	183.280792	0.464121	90.758530	0.464121	0.464121	0.379415	-0.054520	0.117223
11655	9.164874	1.448963	9.080045	0.474059	-1.514176	8.776184	2.817434	-0.598798	9.107100	1.237102	-0.000135	-9.487272	3.285269	-3.537175	22.244656	0.378038	-3.780376	183.280792	0.464121	90.896706	0.464121	0.464121	0.202664	-0.321085	-0.235152
11656	9.197948	1.461388	9.020379	0.506863	-1.534286	8.737439	2.805145	-0.527114	9.092394	1.257751	0.032804	-9.481331	3.344664	-3.686217	21.988897	0.378038	-3.780376	183.280792	0.464121	90.900032	0.464121	0.464121	0.291563	-0.011883	-1.107159
11657	9.139832	1.494011	8.942787	0.481076	-1.605189	8.698421	2.837178	-0.513884	9.086294	1.231670	0.104001	-9.513511	3.389927	-3.712824	22.237072	0.378038	-3.780376	183.280792	0.464121	90.900032	0.464121	0.464121	0.202409	-0.010880	0.118325
11658	9.125983	1.501015	8.960310	0.537934	-1.619358	8.723109	2.812331	-0.481713	9.086134	1.224825	0.054467	-9.488664	3.301697	-3.681612	22.302572	0.378038	-3.780376	182.496765	0.464121	90.900032	0.464121	0.464121	0.157591	0.122912	0.995098
11659	9.157015	1.532563	8.998810	0.646826	-1.651078	8.761781	2.836410	-0.474244	9.054758	1.256028	-0.022876	-9.449992	3.310839	-3.674143	22.304220	0.378038	-3.780376	182.312912	0.464121	90.900032	0.464121	0.464121	0.291210	0.033082	0.120281
11660	9.195846	1.509596	9.006927	0.732790	-1.597212	8.738998	2.905955	-0.412261	9.077725	1.294859	-0.039110	-9.441875	3.318217	-3.612161	22.008537	0.673721	-4.076059	182.308365	0.464121	90.900032	0.464121	0.464121	0.644100	0.034016	-0.057682
11661	9.143592	1.501397	9.067970	0.780597	-1.641464	8.730800	2.892522	-0.425892	9.055501	1.242606	0.082188	-9.441678	3.287991	-3.625792	22.219324	0.754066	-4.156405	182.308365	0.464121	90.151146	0.464121	0.464121	0.512608	-0.009843	0.643979
11662	9.185977	1.531134	9.055742	0.819823	-1.688709	8.700643	2.973923	-0.494226	9.046851	1.255044	0.057732	-9.411731	3.368972	-3.604285	22.302094	0.756075	-4.158414	181.571213	0.464121	89.933067	0.464121	0.464121	0.467641	-0.230739	-0.237580
11663	9.174708	1.481516	9.046864	0.858839	-1.698477	8.661849	3.031141	-0.513094	9.105571	1.234452	0.039975	-9.461349	3.455661	-3.654125	22.304220	0.756075	-4.440431	181.341721	0.464121	89.927597	0.464121	0.464121	0.380552	-0.187612	-0.584926
11664	9.194386	1.520166	9.046629	0.897855	-1.727706	8.680822	3.012638	-0.426581	9.154139	1.224900	0.097494	-9.509683	3.475939	-3.731452	22.304220	0.756075	-4.534082	181.335938	0.464121	89.927597	0.464121	0.464121	0.512078	0.124204	0.467047
11665	9.204389	1.568690	9.046629	0.993908	-1.737957	8.747861	2.974117	-0.395830	9.136365	1.224653	0.089476	-9.463391	3.447915	-3.752448	22.304220	0.483172	-4.536451	180.633942	0.464121	89.225609	0.464121	0.464121	0.424323	0.034704	0.468605
11666	9.204649	1.579924	9.046629	0.998267	-1.710175	8.741507	2.907059	-0.338965	9.097870	1.168569	0.107325	-9.470266	3.437202	-3.696884	22.304220	0.380650	-4.268107	180.370224	0.464121	88.271629	0.464121	0.464121	0.291677	0.078086	0.470647
11667	9.177083	1.635329	9.019063	0.905211	-1.726564	8.758442	2.829299	-0.289045	9.031287	1.201347	0.090663	-9.480897	3.381797	-3.702096	22.304220	0.378038	-3.897359	179.684952	0.464121	87.989777	0.464121	0.464121	0.423919	-0.142345	0.816970
11668	9.138352	1.712790	8.980332	0.707465	-1.683739	8.742706	2.778357	-0.249743	9.034811	1.224056	0.106398	-9.427004	3.385606	-3.794434	22.304220	0.378038	-4.042465	179.398422	0.464121	87.982742	0.464121	0.464121	0.070754	0.208329	-0.049532
11669	9.125951	1.684366	8.941317	0.580720	-1.633216	8.757515	2.712429	-0.263955	9.046317	1.224653	0.118203	-9.402796	3.423726	-3.804430	22.304220	0.123360	-4.155434	179.391083	0.464121	87.982742	0.464121	0.464121	0.113540	0.119696	0.299808
11670	9.177915	1.633718	8.902301	0.553717	-1.567751	8.769771	2.660846	-0.276210	9.046629	1.198515	0.040102	-9.402173	3.436604	-3.688247	22.054098	0.003102	-4.158414	179.391083	0.464121	87.982742	0.464121	0.464121	0.159133	-0.188535	0.995620
11671	9.178312	1.543052	8.863285	0.501744	-1.490042	8.770095	2.544518	-0.250872	9.072291	1.185485	0.026674	-9.402173	3.385604	-3.635802	21.929407	0.000000	-4.158414	179.391083	0.464121	87.982742	0.464121	0.464121	0.379925	-0.100280	0.646129
11672	9.115121	1.477050	8.925013	0.499945	-1.412009	8.719723	2.515395	-0.287752	9.060598	1.185148	0.039155	-9.427360	3.408991	-3.659640	21.926182	0.000000	-4.399431	179.391083	0.464121	87.982742	0.464121	0.464121	0.070111	-0.055760	0.119428
11673	9.111570	1.437334	8.966531	0.513202	-1.383398	8.691810	2.602086	-0.438869	9.046991	1.209859	0.014794	-9.441316	3.460915	-3.599463	21.689713	0.000000	-4.532982	179.391083	0.464121	87.982742	0.464121	0.464121	0.290389	-0.010403	0.819099
11674	9.149499	1.446787	8.991854	0.489329	-1.455377	8.763790	2.742645	-0.584393	9.022394	1.272748	0.000375	-9.465913	3.451824	-3.508099	21.551735	0.000000	-4.768364	179.391083	0.464121	87.982742	0.464121	0.464121	0.246387	-0.365312	0.641424
11675	9.117238	1.413776	9.078013	0.450688	-1.618819	8.760918	2.827056	-0.630914	9.007512	1.326646	-0.047518	-9.457036	3.366040	-3.477210	21.775505	0.000000	-4.910775	179.391083	0.464121	87.982742	0.464121	0.464121	0.247689	-0.011342	0.471361
11676	9.133502	1.336908	9.101152	0.504805	-1.673424	8.801241	2.867237	-0.585513	9.053690	1.342767	-0.054925	-9.465362	3.342900	-3.476434	21.922344	0.000000	-4.914489	179.391083	0.464121	87.982742	0.464121	0.464121	0.291798	-0.233160	-0.232092
11677	9.141508	1.372913	9.040934	0.574634	-1.636814	8.802248	2.951868	-0.531090	9.108113	1.297553	-0.017112	-9.503576	3.334697	-3.544856	21.926182	0.218253	-4.696236	179.391083	0.464121	87.982742	0.464121	0.464121	0.379868	-0.231020	0.465781
11678	9.148397	1.443228	9.030310	0.636810	-1.620129	8.770949	3.023425	-0.446997	9.102880	1.198018	0.021904	-9.542593	3.341173	-3.615999	22.139879	0.373951	-4.326840	179.391083	0.464121	87.982742	0.464121	0.464121	0.248335	0.121415	0.122719
11679	9.142848	1.526809	9.024333	0.714415	-1.619702	8.704528	2.954016	-0.374514	9.086574	1.190675	0.017209	-9.516042	3.401190	-3.655869	22.300007	0.378038	-3.953481	179.391083	0.464121	87.982742	0.464121	0.464121	0.467721	-0.274608	-0.063203
11680	9.126092	1.578838	9.028956	0.771067	-1.641082	8.674319	2.864293	-0.313238	9.064754	1.266506	0.000453	-9.439330	3.371883	-3.652126	22.304220	0.378038	-3.784714	179.391083	0.464121	87.982742	0.464121	0.464121	0.424150	-0.189224	0.821444
11681	9.167447	1.642910	9.046163	0.789632	-1.679645	8.711522	2.865726	-0.319276	9.047095	1.302730	0.041808	-9.382202	3.340718	-3.634920	22.304220	0.378038	-3.780376	179.391083	0.464121	87.982742	0.464121	0.464121	0.645548	-0.185985	1.342186
11682	9.203690	1.656417	9.046629	0.790099	-1.677804	8.730110	2.883380	-0.334157	9.067058	1.242378	0.078051	-9.444861	3.398296	-3.654882	22.304220	0.573524	-3.975863	179.391083	0.464121	87.982742	0.464121	0.464121	0.511799	-0.231165	0.465009
11683	9.184696	1.600735	9.026676	0.770146	-1.659700	8.730590	2.883860	-0.316532	9.085641	1.206579	0.079010	-9.498764	3.455896	-3.653513	22.304220	0.751359	-4.153697	179.391083	0.464121	87.982742	0.464121	0.464121	0.423568	-0.187751	-0.410272
11684	9.185126	1.580703	9.027106	0.809531	-1.678684	8.730590	2.883860	-0.393948	9.105611	1.204670	0.079010	-9.481688	3.456451	-3.634960	22.304220	0.569692	-4.158414	179.391083	0.464121	87.982742	0.464121	0.464121	0.424412	-0.187684	0.819397
11685	9.204129	1.580197	9.008106	0.867551	-1.679191	8.730590	2.883860	-0.509985	9.106118	1.166666	0.079010	-9.462182	3.437448	-3.653455	22.304220	0.564840	-4.158414	179.391083	0.464121	87.982742	0.464121	0.464121	0.157919	-0.144990	-0.758041
11686	9.186123	1.561671	8.987209	0.887634	-1.604162	8.712064	2.865334	-0.496427	9.105192	1.146175	0.060484	-9.442210	3.473981	-3.654900	22.304220	0.750981	-4.158414	179.391083	0.464121	87.982742	0.464121	0.464121	0.114343	-0.143441	0.467625
11687	9.165689	1.541238	9.006578	0.871967	-1.578430	8.727732	2.844901	-0.436192	9.107042	1.145643	0.058101	-9.459728	3.478746	-3.616949	22.304220	0.756075	-4.158414	179.835388	0.464121	87.982742	0.464121	0.464121	0.156760	-0.278131	0.468189
11688	9.165144	1.558267	9.024698	0.830721	-1.618584	8.768977	2.879504	-0.364255	9.086693	1.180793	0.043301	-9.463050	3.420472	-3.613083	22.304220	0.587896	-4.158414	179.917130	0.464121	87.982742	0.464121	0.464121	0.025873	-0.011586	0.120210
11689	9.182243	1.596724	9.063156	0.795404	-1.619702	8.701696	2.905120	-0.295924	9.086134	1.223508	0.018245	-9.459351	3.415096	-3.650981	22.304220	0.383516	-3.994781	179.405167	0.464121	87.982742	0.464121	0.464121	0.069928	0.166368	0.646926
11690	9.204063	1.619117	9.068924	0.751764	-1.636326	8.647664	2.884445	-0.348702	9.119382	1.224653	0.038920	-9.480597	3.403095	-3.689997	22.304220	0.378038	-3.785978	178.981873	0.464121	87.982742	0.464121	0.464121	0.068672	-0.054416	0.642559
11691	9.204649	1.619702	9.063376	0.734445	-1.658608	8.738333	2.851563	-0.410000	9.131649	1.224653	0.039505	-9.465034	3.375265	-3.745162	22.304220	0.378038	-3.934909	178.035889	0.464121	87.982742	0.464121	0.464121	0.466636	0.079236	1.168419
11692	9.204649	1.651048	9.085522	0.664682	-1.643534	8.823436	2.821747	-0.386923	9.087358	1.208980	0.039505	-9.457963	3.428158	-3.806922	22.304220	0.378038	-4.152555	177.461304	0.464121	87.982742	0.464121	0.464121	0.246429	-0.188318	0.292565
11693	9.204649	1.697460	9.070936	0.594451	-1.620328	8.802885	2.828531	-0.333115	9.070936	1.140180	0.024307	-9.465360	3.490380	-3.800957	22.304220	0.378038	-4.158414	177.446228	0.464121	87.982742	0.464121	0.464121	0.158700	0.298938	0.298381
11694	9.204649	1.698712	9.047268	0.577852	-1.619702	8.703062	2.820211	-0.354905	9.076714	1.097995	0.030084	-9.442317	3.515300	-3.754247	22.304220	0.378038	-4.158414	177.083832	0.464121	87.982742	0.464121	0.464121	0.070515	-0.323413	-0.756966
11695	9.204649	1.670218	9.032382	0.553722	-1.676690	8.667132	2.800961	-0.384039	9.124333	1.144337	0.077704	-9.455925	3.530186	-3.710227	22.304220	0.241702	-4.158414	176.489853	0.464121	87.982742	0.464121	0.464121	0.468871	-0.409215	-0.060745
11696	9.204649	1.607263	8.994019	0.525526	-1.747513	8.731734	2.700296	-0.391907	9.111867	1.159415	0.092782	-9.466745	3.513462	-3.622681	22.304220	0.006376	-4.290200	176.134781	0.464121	87.982742	0.464121	0.464121	0.336095	-0.099829	0.294575
11697	9.191353	1.567581	8.994892	0.488716	-1.700072	8.807560	2.634894	-0.318079	9.073518	1.157875	0.104538	-9.442358	3.438969	-3.608925	22.304220	0.000000	-4.529944	175.190796	0.464121	87.982742	0.464121	0.464121	0.556626	-0.142752	0.116099
11698	9.165837	1.528565	9.019600	0.538513	-1.647427	8.796779	2.620840	-0.341682	9.060143	1.133167	0.079703	-9.454499	3.436929	-3.646582	22.304220	-0.122690	-4.536451	174.546005	0.464121	87.982742	0.464121	0.464121	0.380126	-0.099701	0.820555
11699	9.152798	1.514241	8.969033	0.591160	-1.518829	8.758456	2.646123	-0.405981	9.060735	1.171388	0.079010	-9.468130	3.449275	-3.673251	22.304220	-0.371270	-4.536451	174.225037	0.464121	87.982742	0.464121	0.464121	0.291125	0.033444	0.294883
11700	9.126360	1.551842	8.979489	0.616315	-1.451253	8.743181	2.646830	-0.410092	9.020436	1.122622	0.079010	-9.418657	3.463842	-3.685829	22.304220	-0.378038	-4.536451	173.574249	0.464121	87.982742	0.464121	0.464121	0.380321	-0.054964	-0.056703
11701	9.102848	1.579463	8.983598	0.658719	-1.457099	8.780755	2.646830	-0.334222	9.045894	1.068102	0.079010	-9.375532	3.426268	-3.735520	22.195171	-0.268989	-4.536451	173.276001	0.464121	87.982742	0.464121	0.464121	0.246877	-0.100569	0.470894
11702	9.059046	1.602038	8.929610	0.643747	-1.538448	8.776091	2.668671	-0.288951	9.024788	1.110315	0.068090	-9.390504	3.398172	-3.769136	21.933342	-0.007159	-4.536451	172.333679	0.464121	87.982742	0.464121	0.464121	0.203113	-0.144659	-0.231354
11703	9.095818	1.615901	8.949004	0.629040	-1.561583	8.693371	2.755652	-0.357059	8.979589	1.232050	0.029822	-9.373876	3.376533	-3.704542	21.926182	0.000000	-4.636407	171.373291	0.464121	87.982742	0.464121	0.464121	0.335393	0.078549	0.293865
11704	9.134833	1.484349	9.025513	0.506696	-1.618151	8.691085	2.842028	-0.470957	9.026289	1.243442	0.000776	-9.421338	3.329936	-3.664764	21.926182	0.000000	-4.811659	170.412872	0.464121	87.982742	0.464121	0.464121	0.380013	-0.010109	0.117688
11705	9.145365	1.414261	9.075059	0.465353	-1.619702	8.729066	2.844355	-0.493050	9.084555	1.186727	0.009495	-9.479604	3.366625	-3.644738	21.835320	0.000000	-4.453143	169.686218	0.464121	87.982742	0.464121	0.464121	0.422493	-0.097594	0.815126
11706	9.105781	1.383476	9.047432	0.462418	-1.610682	8.836872	2.835335	-0.542443	9.077114	1.203188	0.029682	-9.490203	3.387601	-3.664135	21.642149	0.086317	-4.079783	169.666794	0.464121	87.982742	0.464121	0.464121	0.335250	-0.099045	0.818996
11707	9.163509	1.408309	9.046629	0.576253	-1.589560	8.818963	2.805667	-0.522927	9.047446	1.253978	0.000817	-9.502780	3.367281	-3.635271	21.918362	0.370217	-3.788197	169.456436	0.464121	87.982742	0.464121	0.464121	0.025784	-0.191056	-0.930413
11708	9.173214	1.506766	9.046629	0.677163	-1.594661	8.832134	2.820991	-0.528028	9.046629	1.209343	0.024211	-9.435268	3.396594	-3.626384	21.926182	0.378038	-3.857604	168.516129	0.464121	87.982742	0.464121	0.464121	0.512508	0.122212	0.822299
11709	9.188613	1.539848	9.039034	0.702649	-1.526507	8.771784	2.866980	-0.429492	9.046629	1.139737	0.123577	-9.418209	3.412615	-3.626175	21.998865	0.378038	-4.077649	167.555756	0.464121	87.982742	0.464121	0.464121	0.245556	-0.187002	0.991074
11710	9.127356	1.554933	9.000861	0.686683	-1.617128	8.748734	2.813686	-0.410148	9.039509	1.114117	0.150041	-9.458105	3.474718	-3.763777	22.296009	0.446176	-3.788588	166.595352	0.464121	87.807472	0.464121	0.464121	0.246648	-0.010144	0.643952
11711	9.138930	1.617958	8.961845	0.742204	-1.626348	8.647551	2.836837	-0.459024	9.014642	1.144771	0.112742	-9.365285	3.463143	-3.816943	22.304220	0.747728	-3.843970	165.798538	0.464121	87.031784	0.464121	0.464121	0.247508	0.033080	-0.055387
11712	9.202876	1.619702	8.941341	0.718146	-1.658321	8.612961	2.811907	-0.378310	9.051913	1.145643	0.079896	-9.375010	3.399197	-3.754741	22.304220	0.756075	-4.090883	165.625168	0.464121	87.010315	0.464121	0.464121	0.291549	-0.055601	0.821583
11713	9.198953	1.614006	9.011019	0.749693	-1.659207	8.612075	2.837758	-0.284932	9.073842	1.145643	0.067618	-9.439877	3.386032	-3.747272	22.304220	0.756075	-3.843500	164.826782	0.464121	87.010315	0.464121	0.464121	0.380825	-0.276164	0.291442
11714	9.160837	1.591553	9.040494	0.745373	-1.648765	8.622517	2.810985	-0.315126	9.008952	1.145643	0.017491	-9.446899	3.330684	-3.719599	22.304220	0.756075	-4.149669	164.804626	0.464121	87.010315	0.464121	0.464121	0.337050	0.033906	-0.231186
11715	9.131313	1.657351	9.012798	0.712017	-1.577307	8.689228	2.848173	-0.316039	9.011870	1.155136	0.101491	-9.480255	3.400314	-3.752040	22.304220	0.756075	-4.158414	164.804626	0.464121	87.010315	0.464121	0.464121	0.158432	-0.144086	0.118690
11716	9.164202	1.646393	9.049958	0.723903	-1.533091	8.703899	2.882918	-0.316039	9.049958	1.222769	-0.001445	-9.476912	3.427444	-3.744426	22.263344	0.715199	-4.158414	164.804626	0.464121	87.010315	0.464121	0.464121	0.511240	-0.321048	-0.060217
11717	9.168941	1.547359	9.085177	0.819141	-1.474986	8.806731	2.880063	-0.335023	9.088974	1.220856	-0.030955	-9.446431	3.363629	-3.672075	21.971666	0.423523	-4.158414	164.804626	0.464121	87.010315	0.464121	0.464121	0.336172	-0.010882	0.119763
11718	9.197034	1.575905	9.089456	0.755857	-1.577286	8.809600	2.845325	-0.502068	9.118024	1.186118	0.044208	-9.483535	3.403098	-3.638746	22.294935	0.714999	-4.190204	164.722855	0.464121	87.010315	0.464121	0.464121	0.290532	-0.188192	0.467978
11719	9.130457	1.538830	9.116112	0.786266	-1.583045	8.803905	2.838660	-0.436524	9.048599	1.182300	0.116545	-9.514009	3.485854	-3.670126	22.304220	0.387462	-4.499779	163.856461	0.464121	87.010315	0.464121	0.464121	0.246465	0.077534	0.821475
11720	9.164145	1.506932	9.010119	0.749220	-1.611585	8.737332	2.767342	-0.434554	9.049002	1.146642	0.116142	-9.441302	3.620968	-3.635452	22.304220	0.378038	-4.167970	163.832214	0.464121	87.010315	0.464121	0.464121	0.246961	-0.011823	0.120810
11721	9.163246	1.581967	9.005226	0.710204	-1.506125	8.803778	2.761549	-0.430758	9.085120	1.141847	0.078125	-9.406983	3.480486	-3.638250	22.304220	0.378038	-4.158414	163.785492	0.464121	87.010315	0.464121	0.464121	0.070769	-0.057685	-0.402008
11722	9.126667	1.657153	8.970070	0.671187	-1.541089	8.734068	2.688390	-0.353328	9.086134	1.067264	0.043379	-9.477705	3.476434	-3.714256	22.290598	0.378038	-4.158414	162.885056	0.464121	87.010315	0.464121	0.464121	0.380635	0.078118	0.646928
11723	9.124690	1.659207	9.006083	0.635019	-1.577257	8.766206	2.688233	-0.240155	9.085185	1.029119	0.117380	-9.441771	3.476434	-3.792288	21.936152	0.378038	-4.158414	162.859772	0.464121	87.010315	0.464121	0.464121	0.155727	-0.052131	1.865180
11724	9.087665	1.659682	9.007124	0.708977	-1.503299	8.654273	2.763233	-0.237979	9.047211	1.067001	0.156964	-9.403704	3.475485	-3.868422	21.926182	0.378038	-4.158414	162.848099	0.464121	87.010315	0.464121	0.464121	0.291652	-0.277115	-0.584564
